,p1,p2,p3,p4,p5
users,3,3,3,3,1
immune,3,1,0,1,0
drug,2,2,0,0,0
environmental,2,2,2,2,1
disorder,0,1,0,0,0
disk,3,3,2,3,2
strategy,0,3,0,1,0
women,2,1,0,2,0
context,1,2,0,0,0
virtual,3,3,2,3,3
delivery,2,2,1,1,1
node,3,3,1,2,1
smoking,2,0,0,2,0
spine,0,0,0,0,0
address,3,3,2,3,2
domain,3,3,3,3,2
replacement,0,1,0,2,0
maybe,0,1,0,1,0
nurse,1,1,0,0,0
sleep,0,0,0,0,0
disease,2,1,0,0,0
transaction,2,2,2,0,0
parent,1,1,0,1,0
baseball,0,0,0,0,0
family,2,1,0,3,0
infection,2,1,0,0,0
extracellular,2,0,0,3,0
deliver,2,1,0,2,0
crisis,0,1,1,2,0
architecture,2,2,0,0,0
justice,0,0,0,1,0
mood,1,1,0,1,0
ceiling,1,1,0,1,0
orientation,2,3,0,3,0
woman,2,1,0,0,0
vaccine,0,1,0,0,0
incidence,1,1,0,0,0
virus,2,0,3,3,2
contact,2,2,0,3,0
federal,1,0,0,2,0
dining,1,0,0,1,0
participate,0,1,0,1,0
signal,3,3,0,3,0
card,3,3,2,3,1
mobility,3,3,0,3,1
mirror,3,3,0,1,1
program,3,3,2,3,3
substance,2,2,0,1,1
wine,2,0,0,0,0
novel,0,2,0,3,0
martial,2,2,0,1,0
gallery,3,1,0,0,1
optical,3,3,2,3,0
cost,1,1,0,0,0
orange,0,0,0,0,0
street,0,0,0,0,0
romance,1,0,0,1,0
lips,0,0,0,1,0
trap,2,1,0,1,0
lift,1,0,0,1,0
credit,2,2,1,3,1
gain,1,0,0,2,0
structure,2,2,0,2,0
bell,1,1,0,0,0
assay,2,0,0,1,2
scene,1,2,0,2,0
dealers,2,2,0,3,1
prize,0,1,0,1,0
brick,1,2,0,1,0
jet,2,1,1,3,0
chemistry,1,0,0,0,0
tenure,0,1,0,1,0
refuse,0,0,0,2,2
sphere,0,0,0,2,0
compact,3,2,0,1,0
coach,0,1,0,0,0
leaf,2,2,0,1,0
energy,2,1,0,3,1
net,3,3,3,3,3
rabbit,0,1,0,0,0
excuse,0,1,0,1,0
curtain,0,1,0,1,0
west,2,2,0,1,1
substances,2,2,2,0,1
palace,0,1,0,0,0
dare,1,1,0,0,0
maid,1,1,0,2,1
negligence,0,0,1,0,0
doubt,0,0,0,0,0
organism,1,0,0,1,0
vector,3,1,0,3,1
curious,0,1,0,1,0
upwards,0,2,0,0,0
prestige,2,1,0,2,0
atom,1,0,0,3,0
neutron,1,0,0,0,0
honour,0,1,0,1,0
sulphate,0,0,0,0,0
mediaeval,0,0,0,1,0
cent,1,1,0,0,0
